t_s,TimeUS,mode,armed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
3.999,530364664,17,1,1500,1500,1338,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.039,530404644,17,1,1500,1500,1338,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.079,530444546,17,1,1500,1500,1355,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.119,530484538,17,1,1500,1500,1356,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.159,530524589,17,1,1500,1500,1371,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.200,530564837,17,1,1500,1500,1378,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.239,530604576,17,1,1500,1500,1381,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.279,530644580,17,1,1500,1500,1388,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.319,530684360,17,1,1500,1500,1390,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.359,530724296,17,1,1500,1500,1398,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.399,530764465,17,1,1500,1500,1411,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.439,530804628,17,1,1500,1500,1424,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.479,530844318,17,1,1500,1500,1438,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.519,530884313,17,1,1500,1500,1439,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.559,530924317,17,1,1500,1500,1446,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.599,530964486,17,1,1500,1500,1455,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.639,531004322,17,1,1500,1500,1456,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.679,531044505,17,1,1500,1500,1456,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.719,531084321,17,1,1500,1500,1456,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.759,531124677,17,1,1500,1500,1456,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.800,531164833,17,1,1500,1500,1456,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.839,531204457,17,1,1500,1500,1456,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.879,531244453,17,1,1500,1500,1465,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.919,531284473,17,1,1500,1500,1466,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.959,531324221,17,1,1500,1500,1469,1500,2000,2000,999,1500,999,999,2000,2000,880,880
4.999,531364402,17,1,1500,1500,1476,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.039,531404172,17,1,1500,1500,1496,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.079,531444441,17,1,1500,1500,1511,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.119,531484611,17,1,1500,1500,1535,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.159,531524771,17,1,1500,1500,1535,1500,2000,2000,999,1500,999,999,2000,2000,880,880
5.199,531564655,17,1,1500,1500,1536,1500,2000,2000,999,1500,999,999,2000,2000,880,880
